Date and Time,User Name,Reason
2022-10-29 19:39:19,abcd,User Cancelled
2022-11-02 00:30:37,Anonymous,User Cancelled
2022-11-02 00:33:41,Anonymous,User Cancelled
2022-11-02 00:35:39,Anonymous,User Cancelled
2022-11-02 00:43:11,Anonymous,Change not available
2022-11-02 00:58:02,Anonymous,Timeout
2022-11-02 00:58:02,Anonymous,Timeout
2022-11-02 00:58:55,Anonymous,Timeout
2022-11-02 00:58:02,Anonymous,Timeout
2022-11-02 00:58:55,Anonymous,Timeout
2022-11-02 00:59:37,Anonymous,Timeout
2022-11-02 11:58:04,aa,Timeout
2022-11-02 11:58:04,aa,Timeout
2022-11-02 11:58:13,aa,User Cancelled
2022-11-02 12:36:30,aa,Timeout
2022-11-02 12:36:30,aa,Timeout
2022-11-02 12:36:41,aa,Timeout
2022-11-02 12:38:27,aa,Timeout
2022-11-02 12:38:27,aa,Timeout
2022-11-02 12:38:37,aa,Timeout
